YEAR,Longitude,Latitude,MO,DY,PRECTOTCORR
1981,6.2338340238658825,9.898270161085012,10,15,51.65
1982,7.571508843038432,13.491531297563098,9,27,87.14
1983,7.126041779624445,9.449112519025253,8,3,120.77
1984,6.680141303269673,9.898270161085012,9,26,89.9
1985,7.126041779624445,12.593216013443577,9,29,58.95
1986,6.680141303269673,10.347427803144774,5,10,72.51
1987,10.233736821851537,15.28816186580214,7,18,97.32
1988,8.016516014323393,14.38984658168262,7,29,88.17
1989,8.016516014323393,14.83900422374238,8,18,73.28
1990,6.680141303269673,10.347427803144774,11,1,53.63
1991,7.126041779624445,13.042373655503338,9,5,50.61
1992,9.348515504033744,8.101639592845968,6,27,58.98
1993,7.571508843038432,13.491531297563098,8,31,84.57
1994,10.675436847723612,11.694900729324054,8,6,113.54
1995,6.2338340238658825,9.898270161085012,9,28,76.23
1996,6.680141303269673,9.898270161085012,6,3,87.13
1997,8.016516014323393,13.491531297563098,6,27,62.31
1998,8.016516014323393,11.245743087264296,9,22,60.25
1999,10.233736821851537,12.593216013443577,5,20,177.06
2000,7.571508843038432,13.042373655503338,8,24,141.0
2001,10.233736821851537,15.28816186580214,6,9,82.86
2002,10.233736821851537,12.593216013443577,8,30,138.38
2003,9.348515504033744,15.7373195078619,5,25,89.81
2004,9.348515504033744,15.7373195078619,7,27,66.54
2005,8.016516014323393,10.347427803144774,7,3,59.34
2006,8.905045463075526,8.101639592845968,8,22,61.0
2007,7.571508843038432,7.652481950786209,8,13,92.91
2008,9.348515504033744,14.38984658168262,8,19,88.43
2009,7.126041779624445,13.042373655503338,7,24,86.19
2010,9.348515504033744,13.042373655503338,8,28,58.09
2011,6.2338340238658825,9.898270161085012,9,13,48.6
2012,9.348515504033744,15.7373195078619,9,2,52.39
2013,8.016516014323393,13.491531297563098,7,24,56.43
2014,9.348515504033744,15.7373195078619,4,30,68.51
2015,6.2338340238658825,9.898270161085012,7,10,133.85
2016,8.016516014323393,14.38984658168262,9,3,101.23
2017,6.2338340238658825,9.898270161085012,7,21,188.26
2018,9.791421194623805,9.449112519025253,5,2,228.24
2019,11.11649591622169,11.694900729324054,5,20,251.22
2020,9.791421194623805,8.999954876965491,4,11,1172.81
2021,10.233736821851537,12.593216013443577,11,13,411.87
2022,9.791421194623805,9.449112519025253,5,23,1188.93
2023,9.791421194623805,8.999954876965491,3,5,485.82
2024,10.233736821851537,10.347427803144774,1,1,0.0
